,created_at,screen_name,location,text
49,2021-04-29 06:26:51,Adolf7Auto,"नई दिल्ली, भारत",Adolf7 Automotive Industries Pvt Ltd presents Shivon Shocker oil.Its  an advanced oil designed to provide superior… https://t.co/6VckmQXWBs
50,2021-04-28 22:30:32,siinebii,Nigeria,"RT @enilubs_wafrica: Use premium lubricants to avoid the breakdown of your machinery.
#eni #enilubricants #quality #protection #performance…"
51,2021-04-28 14:44:20,mannolindia,"Tamilnadu, India.","Take a Smooth and Easy ride with Mannol Engine oil😀
https://t.co/tdp6PAtRYz

#mannolindia #mannoloil #mannol… https://t.co/Xcjcx7Xsws"
52,2021-04-28 12:20:47,aakindamola,"Lagos, Nigeria","RT @IOGC_NG: Buy from the best.

#iogc #retail #fuel #fueling #quality #petrol #diesel #gas #engineoil https://t.co/ODrT1ydy5S"
53,2021-04-28 12:20:36,IOGC_NG,"Lagos, Nigeria","Buy from the best.

#iogc #retail #fuel #fueling #quality #petrol #diesel #gas #engineoil https://t.co/ODrT1ydy5S"
54,2021-04-28 09:41:22,IOCL_ODISHA,"Orissa, India","RT @IndianOilcl: With excellent cooling efficiency, all-weather performance and radiator-corrosion prevention, 𝑺𝑬𝑹𝑽𝑶 Kool Plus is the ideal…"
55,2021-04-28 09:17:25,easyonestop,,"Original Genuine Toyota PREMIUM MINERAL Engine Oil SN/CF 10W30 (4 liter)

🛒👇 Shopping :-
Lazada :… https://t.co/4pvt9eOfJr"
56,2021-04-28 08:21:29,Continentaloils,UNI,"CONTEX 5W30 SN Fully synthetic motor oil – Relentless performance, cleansing and protection.
#Continental #Contex… https://t.co/lXaabfGMKt"
57,2021-04-28 06:22:07,siinebi,Nigeria,"RT @enilubs_wafrica: Use premium lubricants to avoid the breakdown of your machinery.
#eni #enilubricants #quality #protection #performance…"
58,2021-04-28 06:21:30,enilubs_wafrica,"Port Harcourt, Nigeria","Use premium lubricants to avoid the breakdown of your machinery.
#eni #enilubricants #quality #protection… https://t.co/satMNdsGZV"
59,2021-04-27 15:03:08,Block1More,,"RT @menzmotorz: #ProtectYourEngine
#EngineOil 
#Castrol 
#SupportOurHustle 
📍Oyarifa New York City 1st Off Special Ice Road https://t.co/uQ…"
60,2021-04-27 14:00:23,AUTOCARECENTERS,"Pensacola, FL",Check your #engineoil level at least once a week or more if you drive high mileage. 🚗
61,2021-04-27 13:32:37,BizolMotorOil,Berlin,Oil Additives are the key to the best performance in your engine. Learn all you need to know about them!… https://t.co/6J54p5y6ZB
62,2021-04-27 12:40:35,JensonLubricant,,"Jenson &amp; Jenson Lubricant hai toh mumkin hein. 

Get  Z premium range of oil and lubricants; call on 9811640318 or… https://t.co/cujdGs57EK"
