,created_at,screen_name,location,text
0,2021-05-05 06:00:49,mAdd_p0pc0rN,Socal,"RT @TrickorTreat831: *FREE* Halloween Fear Freshener with any Halloween movie purchase at https://t.co/aaxsWb52CE!

No code needed! While s…"
1,2021-05-05 06:00:38,mAdd_p0pc0rN,Socal,"RT @TrickorTreat831: *FREE* Trick'r Treat Sam Fear Freshener with any Trick'r Treat movie purchase at https://t.co/aaxsWb52CE!

No code nee…"
2,2021-05-04 18:51:39,Halloweeja,"Created in Canada, Made in USA","RT @TrickorTreat831: *FREE* Trick'r Treat Sam Fear Freshener with any Trick'r Treat movie purchase at https://t.co/aaxsWb52CE!

No code nee…"
3,2021-05-04 18:45:41,TrickorTreat831,"Soquel, CA","*FREE* Trick'r Treat Sam Fear Freshener with any Trick'r Treat movie purchase at https://t.co/aaxsWb52CE!

No code… https://t.co/GL5hTeQulU"
4,2021-05-04 18:30:47,TrickorTreat831,"Soquel, CA","*FREE* Halloween Fear Freshener with any Halloween movie purchase at https://t.co/aaxsWb52CE!

No code needed! Whil… https://t.co/pw59qWyCG4"
