,created_at,screen_name,location,text
0,2021-05-04 06:33:23,Rkhanna2700,,RT @Polco_India: ☞ Quality is never an accident it is a result of intelligent effort. Strigent 🕵🏻‍♂️quality ✔checks years of practice best…
1,2021-05-04 06:20:22,Polco_India,"Mumbai, India",☞ Quality is never an accident it is a result of intelligent effort. Strigent 🕵🏻‍♂️quality ✔checks years of practic… https://t.co/95iHGuIM7B
2,2021-05-01 07:24:27,HelloCarAssam,"Guwahati, Assam","Tips To Maintain Your Car During The Lockdown 2021
.
.
.
.
.
#lockdownindia #covid19india #carcare #carcover… https://t.co/Lnv1SYu5yV"
3,2021-04-29 16:27:44,store_my_car,Sutton Coldfield,"With detailing, service management and secure storage under one roof we truly are the Midlands leading all-in-one v… https://t.co/g6XzdiPaPe"
4,2021-04-27 16:20:47,store_my_car,Sutton Coldfield,The 420PS 4.0L flat six in this #718Spyder sounds truly awesome. Future classic status is pretty much guaranteed so… https://t.co/7vEy5Q6dqR
