,created_at,screen_name,location,text
0,2021-05-03 05:00:00,godrejaer,,What’s even more amazing is that each of our bouquet smells just as fresh! Get Godrej aer matic and sit back as it… https://t.co/rNbc1TS7uI
1,2021-05-01 14:33:36,sam_auriga,"Gurugram, India","@godrejaer not getting OTP on any mobile number to register on Godrej aer matic app.
Tried 3 numbers so far. Help ASAP."
2,2021-04-29 15:44:25,iamvivekalahari,"Bengaluru, India",@godrejaer I have not received any call back from @godrejaer . Didn't expect this from @GodrejGroup
3,2021-04-29 05:00:00,godrejaer,,"That too without spending on renovations. With five delightful fragrances from Godrej aer power pocket, your bathro… https://t.co/XmTDzPhDx4"
4,2021-04-27 16:52:15,bhaskar98446939,,"@godrejaer Is there any availability of refill for this product, I have one which is near to empty ,was looking onl… https://t.co/KpcwENsupQ"
